vocabulary,varient_of,pronounication,meaning,language,ethnicity,nationality,religion,gender,sexual_orientation,disability,class,archaic,offensiveness,num_revision,num_variants,variants,num_citing,last_citing,num_citations
dego,dago,{},"An Italian, Spaniard or Portuguese person, possibly derived from the Spanish name, 'Diego,' a corruption of the title Hidalgo (member of the Gentry, from Spanish > hijo de algo 'son of someone [important]' or the Sardinian language first person pronoun, dego)t.",eng,1,0,0,0,0,0,0,0,1,0,0,{},0,{},0
dhimmi,{},{},"Used by opponents of Islamisation and Muslim immigration to denote those who in their eyes facilitate it, with connotation of 'traitor'. Used in several languages in that sense, but originally an Islamic term referring to Jewish and Christian minorities.",eng,0,0,0,0,0,0,0,0,0,2,0,{},3662,5/15/17 15:50,1
diaper head,raghead,{},"An Arab, Indian Sikh or other individual of Middle Eastern or South Asian descent wearing traditional headdress such as turbans or keffiyehs. Sometimes used generically for all Islamic nations.",eng,1,0,0,0,0,0,0,0,0.17,0,0,{},343,5/13/17 1:28,0
dinge,{},{},A black person. Used in the novel 'To Kill a Mockingbird'.,eng,1,0,0,0,0,0,0,0,0,0,0,{},84,5/7/17 18:21,0
dingo fucker,{},{},An Australian,eng,0,1,0,0,0,0,0,0,0,1,0,{},83,5/18/17 3:47,0
dink,{},{},[1] An Asian. [2] A Vietnamese person. [3] A North Vietnamese soldier or guerrilla in the Vietnam War.,eng,1,1,0,0,0,0,0,1,0,0,0,{},0,{},0
div,{},{},An idiot,eng,0,0,0,0,0,0,1,1,0,1,1,divvy,0,{},2
divvy,div,{},An idiot,eng,0,0,0,0,0,0,1,1,0.06,1,0,{},0,{},1
dogan,{},{},"In Canada, an Irish Catholic [19th century on; origin uncertain: perhaps from Dugan, an Irish surname].",eng,0,1,1,0,0,0,0,0,0.48,0,1,dogun,0,{},0
dogun,dogan,{},"In Canada, an Irish Catholic [19th century on; origin uncertain: perhaps from Dugan, an Irish surname].",eng,0,1,1,0,0,0,0,0,0,0,0,{},18,12/13/16 1:38,0
dole bludger,bludger,{},[1] A shiftless or unemployed person. [2] A pimp.,eng,0,0,0,0,0,0,1,0,0,1,0,{},1801,5/13/17 17:28,1
domes,{},{},"Hispanic word for a person from the Dominican Republic, possibly from the Washington Heights area of New York City.",eng,1,1,0,0,0,0,0,0,0,0,0,{},0,{},0
dot head,{},{},"A person of Indian descent, from the caste-mark (dot) on an Indian's forehead.",eng,1,1,0,0,0,0,0,0,0,0,0,{},0,{},0
dune coon,sand nigger,{},A person of Arab descent.,eng,1,0,0,0,0,0,0,0,0,0,0,{},1076,5/11/17 10:10,0
dune nigger,sand nigger,{},A person of Arab descent.,eng,1,0,0,0,0,0,0,0,0.5,0,0,{},14,1/25/17 22:50,0
dyke,{},{},A lesbian.,eng,0,0,0,1,1,0,0,0,0.88,0,0,{},2696,5/13/17 8:09,0
dyke jumper,{},{},A person of Dutch origin.,eng,0,1,0,0,0,0,0,0,0,0,0,{},5,4/10/17 16:55,0
egg,{},{},"Denotes white males who identify with East Asian culture, and are thus 'white on the outside and yellow on the inside'.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
eggplant,{},{},A black person.,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
eh hole,{},{},A Canadian. Variation on the ubiquitous 'eh' and the word 'asshole'.,eng,0,1,0,0,0,0,0,0,0,0,0,{},31,1/24/17 14:43,0
eight ball,{},{},A black person.,eng,1,0,0,0,0,0,0,0,0,0,0,{},1,5/26/13 1:13,0
eurotrash,{},{},A European.,eng,1,0,0,0,0,0,0,0,0.88,0,0,{},2267,5/13/17 3:42,0
eyetie,{},{},An Italian person. Originated through the mispronunciation of 'Italian' as 'Eye-talian.',eng,1,1,0,0,0,0,0,0,0.43,0,0,{},153,4/30/17 5:48,0
fag,{},{},A homosexual.,eng,0,0,0,0,1,0,0,0,0.49,0,3,faggot; frocio; finocchio,3869,5/13/17 6:17,0
faggot,fag,{},A homosexual.,eng,0,0,0,0,1,0,0,0,0.63,0,0,{},4392,5/13/17 6:09,0
Fairy,{},{},A Homosexual,eng,0,0,0,0,1,0,0,0,0,1,0,{},0,{},1
fez,{},{},"An Arab, from the Turkish hat.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
finocchio,fag,{},A homosexual.,eng,0,0,0,0,1,0,0,0,0,1,0,{},22,5/10/17 14:33,0
FOB,fresh off the boat,{},A person of foreign nationality.,eng,0,1,0,0,0,0,0,0,0,0,0,{},0,{},0
fog nigger,{},{},A black person of British nationality.,eng,1,1,0,0,0,0,0,0,0.31,0,0,{},0,{},0
four by two,{},{},A Jewish person. Four-by-two is Cockney rhyming slang for Jew.,eng,1,0,1,0,0,0,0,0,0,0,0,{},15,5/1/17 12:16,0
fresh off the boat,{},{},A person of foreign nationality.,eng,0,1,0,0,0,0,0,0,0,0,1,FOB,2,6/18/13 20:59,0
frocio,fag,{},A homosexual.,eng,0,0,0,0,1,0,0,0,0.82,1,0,{},26,5/16/17 11:29,1
frog,{},{},"A French person. Prior to 19th century, referred to the Dutch (as they were stereotyped as being marsh-dwellers). When France became Britain's main enemy, replacing the Dutch, the epithet transferred to them, due to the French recipe for eating frogs' legs (see comparable French term Rosbif). Also used in Canada to refer to both the French and French Canadians, and occasionally incorrectly as more broadly to people from Quebec who are not, in fact, necessarily French or French speaking.",eng,1,0,0,0,0,0,0,0,0.07,0,0,{},0,{},0
fruit,{},{},A homosexual.,eng,0,0,0,0,1,0,0,0,0,2,0,{},1,3/18/13 0:00,0
fuzzy,{},{},A black person.,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
fuzzy wuzzy,{},{},Colonialist term used to refer to the Hadendoa warriors in the 19th Century.,eng,1,0,0,0,0,0,0,1,0,0,0,{},0,{},0
gable,{},{},A black person.,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
gator bait,alligator bait,{},"A black person, especially a black child. More commonly used in states where alligators are found, particularly Florida. First used in the early 20th century, although some hypothesize the term originated in the late 19th century.",eng,1,0,0,0,0,0,0,0,0,0,0,{},1406,5/11/17 22:01,0
Gerudo,{},{},"A Muslim female. Probably formed from the name of the Gerudo people, a fantasy race created in the Legend of Zelda series.",eng,0,0,1,0,0,0,0,0,0,0,0,{},0,{},0
gew,{},{},A German Jew.,eng,1,1,1,0,0,0,0,0,0,0,0,{},0,{},0
ghetto,{},{},Used to describe urban blacks.,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
ghetto hamster,{},{},A black child.,eng,1,0,0,0,0,0,0,0,0,0,0,{},9,9/10/16 23:53,0
ghost,{},{},A Caucasian,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
gin,{},{},"In Australia, an Aboriginal woman.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
gin jockey,{},{},"In Australia, a white person having casual sex with an Aboriginal woman. Pejorative.",eng,1,0,0,0,0,0,0,0,0,0,1,gun burglar,11,5/6/17 19:27,0
ginger,{},{},Person with red hair,eng,1,0,0,0,0,0,0,0,0,2,0,{},1,4/8/13 0:00,0
ginzo,guinea,{},"A person of Italian birth or descent. Most likely derived from 'Guinea Negro,' implying that Italians are dark or swarthy-skinned like the natives of Guinea. The diminutive 'Ginzo' probably dates back to World War II and is derived from Australian slang picked up by US servicemen in the Pacific Theater.",eng,1,1,0,0,0,0,0,0,0.96,0,0,{},75,3/28/17 8:40,0
gipp,gyppo,{},"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
gippo,gyppo,{},"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.",eng,1,0,0,0,0,0,0,0,0,0,0,{},1252,5/9/17 10:28,0
globalist,{},{},Coded language often used as a negative euphemism for Jew,eng,0,1,1,0,0,0,0,0,0,1,0,{},0,{},0
golliwog,{},{},"Originally a children's literary character and type of black doll, but eventually came to be used as a slur against people with dark skin, most commonly Afro-Caribbeans.",eng,1,0,0,0,0,0,0,0,0,0,0,{},2,5/10/13 18:33,0
goober,{},{},A rural person or resident of a small town.,eng,0,0,0,0,0,0,0,1,0.06,0,0,{},1434,5/12/17 16:37,0
gook,{},{},"An Asian, especially an enemy soldier of Asian descent. Its use as an ethnic slur has been traced to US Marines serving in the Philippines in the early 20th century. The earliest recorded example is dated 1920. It gained widespread notice as a result of the Korean and Vietnam wars.",eng,1,0,0,0,0,0,0,0,0.5,0,2,gooky; gook eye,586,5/12/17 14:30,0
gook eye,gook,{},"An Asian, especially an enemy soldier of Asian descent. Its use as an ethnic slur has been traced to US Marines serving in the Philippines in the early 20th century. The earliest recorded example is dated 1920. It gained widespread notice as a result of the Korean and Vietnam wars.",eng,1,0,0,0,0,0,0,0,0,0,0,{},3,3/20/17 15:55,0
gooky,gook,{},"An Asian, especially an enemy soldier of Asian descent. Its use as an ethnic slur has been traced to US Marines serving in the Philippines in the early 20th century. The earliest recorded example is dated 1920. It gained widespread notice as a result of the Korean and Vietnam wars.",eng,1,0,0,0,0,0,0,0,0,0,0,{},263,4/28/17 4:41,0
greaseball,{},{},A person of Italian descent. It can also refer to any person of Mediterranean / Southern European descent or Hispanic descent.,eng,1,1,0,0,0,0,0,0,0.94,0,1,greaser,4296,5/12/17 14:00,0
greaser,greaseball,{},A person of Italian descent. It can also refer to any person of Mediterranean / Southern European descent or Hispanic descent.,eng,1,1,0,0,0,0,0,0,0.86,0,0,{},5,7/31/13 5:43,0
groid,{},{},A black person. Derived from 'negroid'.,eng,1,0,0,0,0,0,0,0,0,0,0,{},555,5/9/17 21:40,0
guala,{},{},"A person who's overt about his/her Hispanic descent, particularly a Dominican",eng,1,1,0,0,0,0,0,0,0,1,1,guala guala,1962,5/12/17 11:25,1
guala guala,guala,{},"A person who's overt about his/her Hispanic descent, particularly a Dominican",eng,1,1,0,0,0,0,0,0,0,1,0,{},33,5/12/17 8:36,0
gub,{},{},"In Australia, Aboriginal pejorative term for white people.",eng,1,0,0,0,0,0,0,0,0,0,1,gubba,117,4/25/17 15:40,0
gubba,gub,{},"In Australia, Aboriginal pejorative term for white people.",eng,1,0,0,0,0,0,0,0,0,0,0,{},222,3/11/17 15:48,0
guido,{},{},"An Italian-American male. Derives from the Italian given name, Guido. Used mostly in the Northeastern United States as a stereotype for working-class urban Italian-Americans.",eng,1,1,0,0,0,0,0,0,0.92,0,0,{},25,4/25/17 14:32,0
guinea,{},{},"A person of Italian birth or descent. Most likely derived from 'Guinea Negro,' implying that Italians are dark or swarthy-skinned like the natives of Guinea. The diminutive 'Ginzo' probably dates back to World War II and is derived from Australian slang picked up by US servicemen in the Pacific Theater.",eng,1,1,0,0,0,0,0,0,1,0,1,ginzo,2,6/22/13 15:07,0
gun burglar,gin jockey,{},"In Australia, a white person having casual sex with an Aboriginal woman. Pejorative.",eng,1,0,0,0,0,0,0,0,0,0,0,{},3,6/28/16 8:34,0
gurrier,{},{},"In Ireland, a disreputable or delinquent person",eng,0,0,0,0,0,0,1,0,0,1,0,{},504,5/15/17 10:11,1
Gwat,{},{},Short for Guatemalan.,eng,0,1,0,0,0,0,0,0,0,0,0,{},73,4/17/17 23:33,0
gyp,gyppo,{},"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.",eng,1,0,0,0,0,0,0,0,1,0,0,{},926,5/6/17 17:56,0
gypo,gyppo,{},"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.",eng,1,0,0,0,0,0,0,0,0,0,0,{},5088,5/12/17 8:49,0
gyppie,gyppo,{},"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
gyppo,{},{},"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.",eng,1,0,0,0,0,0,0,0,0.99,0,6,gyp; gipp; gypo; gippo; gyppy; gyppie,1788,5/11/17 3:28,0
gyppy,gyppo,{},"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.",eng,1,0,0,0,0,0,0,0,0,0,0,{},18,7/25/16 6:38,0
hairyback,{},{},A derogatory term for Afrikaners,eng,1,0,0,0,0,0,0,0,0,0,0,{},37,5/3/17 17:59,0
half breed,{},{},One who is of mixed race.,eng,1,0,0,0,0,0,0,0,0.62,0,0,{},2143,5/12/17 5:17,0
halfrican,{},{},Denotes a person that is half African.,eng,1,0,0,0,0,0,0,0,0,0,0,{},158,4/25/17 8:16,0
hayseed,{},{},A rural person.,eng,0,0,0,0,0,0,1,0,0,0,0,{},2523,5/12/17 4:36,0
hebe,{},{},"A Jewish person, derived from the word 'Hebrew'.",eng,1,0,1,0,0,0,0,0,0.5,0,1,heeb,55,3/22/17 14:21,0
hebro,{},{},"A black Jew, from the combination of Hebrew and 'bro'.",eng,1,0,1,0,0,0,0,0,0,0,0,{},169,4/24/17 22:10,0
heeb,hebe,{},"A Jewish person, derived from the word 'Hebrew'.",eng,1,0,1,0,0,0,0,0,0.67,0,0,{},426,5/11/17 21:28,0
heinie,{},{},A person of German descent.,eng,0,1,0,0,0,0,0,0,0,0,0,{},0,{},0
hick,{},{},A rural person.,eng,0,0,0,0,0,0,1,0,0.5,0,0,{},765,5/13/17 13:02,0
higger,{},{},A Hindu person with preceived black mannerisms.,eng,1,0,1,0,0,0,0,0,1,0,0,{},130,4/28/17 23:31,0
hillbilly,{},{},"A rural person, particularly Americans of Appalachia or Ozark heritage.",eng,0,0,0,0,0,0,0,1,0.24,0,0,{},3380,5/12/17 3:26,0
ho,{},{},"[1] A woman, from 'whore'. [2] A prostitute.",eng,0,0,0,1,0,0,0,0,0,0,1,hoe,0,{},0
hoe,ho,{},"[1] A woman, from 'whore'. [2] A prostitute.",eng,0,0,0,1,0,0,0,0,0,0,0,{},0,{},0
holohoax,{},{},Holocaust hoax (Holocaust denial),eng,0,0,1,0,0,0,0,0,1,1,0,{},0,{},0
honkey,honky,{},"A white person. Derived from an African-American pronunciation of 'hunky', the disparaging term for a Hungarian laborer. The first record of its use as an insulting term for a white person dates from the 1950s.",eng,1,0,0,0,0,0,0,0,0.25,0,0,{},3364,5/17/17 16:36,0
honkie,honky,{},"A white person. Derived from an African-American pronunciation of 'hunky', the disparaging term for a Hungarian laborer. The first record of its use as an insulting term for a white person dates from the 1950s.",eng,1,0,0,0,0,0,0,0,0,0,0,{},2701,5/17/17 15:18,0
honky,{},{},"A white person. Derived from an African-American pronunciation of 'hunky', the disparaging term for a Hungarian laborer. The first record of its use as an insulting term for a white person dates from the 1950s.",eng,1,0,0,0,0,0,0,0,0,0,2,honkey; honkie,2166,5/17/17 17:05,0
Honyak,Hunyak,{},A Hungarian-Polish person.,eng,0,1,0,0,0,0,0,0,0,0,0,{},0,{},0
Honyock,Hunyak,{},A Hungarian-Polish person.,eng,0,1,0,0,0,0,0,0,0,0,0,{},13,5/14/17 0:07,0
hoosier,{},{},A rural or unsophisticated person,eng,0,0,0,0,0,0,1,0,0,0,0,{},42,12/1/16 11:12,0
hoser,{},{},"In Canada, an unsophisticated person, Back when Hockey was played on frozen ponds and lakes the losers of the hockey game would have to hose the lakes to become clean, smooth ice.  Calling someone a Ã¢Â€ÂœhoserÃ¢Â€Âù is really just calling them a loser.  From the practice of stealing gas with a hose and siphon.",eng,0,1,0,0,0,0,1,0,0.05,1,0,{},2969,5/17/17 13:15,1
house nigger,{},{},"As with Uncle Tom, a reference to a black person who is subservient to whites.",eng,1,0,0,0,0,0,0,0,0.75,0,0,{},2587,5/17/17 16:13,0
Hun,{},{},"[1] A German, especially a German soldier; popular during World War I. Derived from a speech given by Kaiser Wilhelm of Germany to the German contingent sent to China during the Boxer Rebellion in which he exhorted them to 'be like Huns' (i.e., savage and ruthless) to their Chinese enemy. [2] A Protestant in Northern Ireland. [3] A member of the British military in Ireland ('Britannia's huns').",eng,0,1,1,0,0,0,0,1,0,0,0,{},0,{},0
Hunkie,Hunky,{},[1] A Hungarian. [2] A person of central or east European birth or descent.,eng,1,1,0,0,0,0,0,0,0,0,0,{},0,{},0
Hunky,{},{},[1] A Hungarian. [2] A person of central or east European birth or descent.,eng,1,1,0,0,0,0,0,0,0,0,1,Hunkie,0,{},0
Hunyak,{},{},A Hungarian-Polish person.,eng,0,1,0,0,0,0,0,0,0,0,3,Honyak; Honyock; Hunyock,11,9/10/16 14:32,0
Hunyock,Hunyak,{},A Hungarian-Polish person.,eng,0,1,0,0,0,0,0,0,0,0,0,{},2,7/23/16 14:29,0
hymie,{},{},"A Jewish person, derived from the personal name Hyman (from the Hebrew name Chayyim). Jesse Jackson provoked controversy by referring to New York City as 'Hymietown' in 1984.",eng,1,0,1,0,0,0,0,0,1,0,0,{},592,5/11/17 12:37,0
ice monkey,{},{},A Finn.,eng,0,1,0,0,0,0,0,0,0,0,0,{},8,3/10/17 22:55,0
ice nigger,{},{},A black Canadian.,eng,1,1,0,0,0,0,0,0,0.21,0,0,{},60,5/12/17 13:31,0
idiot,{},{},A mentally retarded person.,eng,0,0,0,0,0,1,0,0,0,1,0,{},0,{},0
ike,ikey,{},A Jewish person (from Isaac and Moses).,eng,1,0,0,0,0,0,0,0,0.82,0,0,{},0,{},0
ikey,{},{},A Jewish person (from Isaac and Moses).,eng,1,0,0,0,0,0,0,0,0.73,0,3,ike; iky; ikey mo,0,{},0
ikey mo,ikey,{},A Jewish person (from Isaac and Moses).,eng,1,0,0,0,0,0,0,0,0.28,0,0,{},1,6/25/14 12:15,0
iky,ikey,{},A Jewish person (from Isaac and Moses).,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
injun,{},{},"A Native American, from 'Indian'.",eng,1,0,0,0,0,0,0,0,0,0,0,{},377,4/25/17 0:33,0
island nigger,{},{},A Polynesian.,eng,1,1,0,0,0,0,0,0,0.75,0,0,{},62,4/29/17 18:04,0
jant,{},{},"In Ireland, a disreputable, working class or delinquent person",eng,0,0,0,0,0,0,1,0,0.24,1,1,jhant,228,5/9/17 18:07,0
Jap,{},{},"[1] A Japanese soldier or national, or anyone of Japanese descent. [2] Acronym for 'Jewish-American Princess.'",eng,1,1,0,0,0,0,0,0,0,0,1,Whipped,278,5/11/17 20:09,0
japie,{},{},"Derogatory term for a Caucasian South African, possibly derived from the Dutch term 'plaasjapie' meaning a farm-boy",eng,1,1,0,0,0,0,0,0,0,1,0,{},74,5/16/17 16:43,0
Jerry,{},{},"A German, especially a German soldier (probably an alteration of German). Origin of Jerry can.",eng,0,1,0,0,0,0,0,0,0,0,0,{},0,{},0
Jewbacca,{},{},"A hairy person of Jewish ancestry, from the Star Wars character, Chewbacca.",eng,1,0,0,0,0,0,0,0,0.65,1,0,{},111,5/9/17 0:20,0
jhant,jant,{},"In Ireland, a disreputable, working class or delinquent person",eng,0,0,0,0,0,0,1,0,0.24,1,0,{},405,5/15/17 1:53,0
jig,jigaboo,{},"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
jigaboo,{},{},"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",eng,1,0,0,0,0,0,0,0,0.58,0,10,boo; jig; jigg; jigga; jigger; zigabo; jiggabo; jiggaboo; jijjiboo; jigarooni,1847,5/17/17 8:02,0
jigarooni,jigaboo,{},"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",eng,1,0,0,0,0,0,0,0,0,0,0,{},1,4/17/15 19:34,0
jigg,jigaboo,{},"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",eng,1,0,0,0,0,0,0,0,0,0,0,{},265,5/16/17 21:24,0
jigga,jigaboo,{},"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",eng,1,0,0,0,0,0,0,0,0,0,0,{},367,5/17/17 7:18,0
jiggabo,jigaboo,{},"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",eng,1,0,0,0,0,0,0,0,0,0,0,{},187,4/28/17 15:17,0
jiggaboo,jigaboo,{},"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",eng,1,0,0,0,0,0,0,0,0,1,0,{},2794,5/17/17 9:47,0
jigger,jigaboo,{},"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",eng,1,0,0,0,0,0,0,0,0,0,0,{},469,5/11/17 12:31,0
Jihadi,{},{},A Muslim.,eng,1,0,1,0,0,0,0,0,0.45,0,0,{},4049,5/17/17 7:28,1
jijjiboo,jigaboo,{},"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",eng,1,0,0,0,0,0,0,0,0.5,0,0,{},0,{},2
Jim Fish,{},{},A black person.,eng,1,0,0,0,0,0,0,0,0,0,0,{},7,3/27/17 10:03,0
jock,{},{},"A Scottish person. Scots language nickname for the personal name John, cognate to the English, Jack. Occasionally used by the English as an insult. but also in respectful reference to elite Scottish, particularly Highland troops, e.g. the 9th (Scottish) Division. Same vein as the English insult for the French, as Frogs.",eng,0,0,0,0,0,0,0,0,0.13,0,2,jocky; jockie,0,{},0
jockie,jock,{},"A Scottish person. Scots language nickname for the personal name John, cognate to the English, Jack. Occasionally used by the English as an insult. but also in respectful reference to elite Scottish, particularly Highland troops, e.g. the 9th (Scottish) Division. Same vein as the English insult for the French, as Frogs.",eng,0,0,0,0,0,0,0,0,0,0,0,{},95,5/14/17 22:35,0
jocky,jock,{},"A Scottish person. Scots language nickname for the personal name John, cognate to the English, Jack. Occasionally used by the English as an insult. but also in respectful reference to elite Scottish, particularly Highland troops, e.g. the 9th (Scottish) Division. Same vein as the English insult for the French, as Frogs.",eng,0,0,0,0,0,0,0,0,0,0,0,{},335,4/24/17 13:06,0
jungle bunny,{},{},A black person.,eng,1,0,0,0,0,0,0,0,0.82,0,0,{},1765,5/16/17 12:43,0
Junior Mint,{},{},"A black person with Caucasian mannerisms, as in a Junior Mint which is white on inside and black on outside.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
khazar,{},{},"A Jewish person, from the conversion of the Khazar Empire to Judaism",eng,1,0,1,0,0,0,0,0,0,0,0,{},1044,5/16/17 22:24,0
kike,{},{},"An Ashkenazi Jew. From kikel, Yiddish for 'circle'. Illiterate immigrant Jews signed legal documents with an 'O' (similar to an 'X').",eng,1,0,0,0,0,0,0,0,0.85,0,1,kyke,164,3/27/17 11:35,0
knacker,{},{},An Irish Traveller.,eng,1,1,0,0,0,0,0,0,0.5,0,0,{},5147,5/16/17 17:14,0
kotiya,tiger,{},A Tamil.,eng,1,0,0,0,0,0,0,0,0,0,0,{},2,11/19/16 11:23,0
kraut,{},{},"A German, most specifically during World War II. From Sauerkraut.",eng,0,1,0,0,0,0,0,1,0.78,0,0,{},294,5/16/17 18:57,0
Kushi,Cushite,{},"[1] A person of east African descent, from Cush (modern day Ethiopia or Sudan). [2] Any black African.",eng,1,0,0,0,0,0,0,0,0,2,0,{},95,5/5/17 13:12,0
Kushite,Cushite,{},"[1] A person of east African descent, from Cush (modern day Ethiopia or Sudan). [2] Any black African.",eng,1,0,0,0,0,0,0,0,0,2,0,{},1847,5/16/17 16:45,1
kyke,kike,{},"An Ashkenazi Jew. From kikel, Yiddish for 'circle'. Illiterate immigrant Jews signed legal documents with an 'O' (similar to an 'X').",eng,1,0,0,0,0,0,0,0,0,0,0,{},312,5/16/17 7:04,0
latrino,{},{},"In the USA a person of Latino descent, from 'latrine'. Extremely offensive.",eng,1,0,0,0,0,0,0,0,1,1,0,{},137,5/16/17 4:05,0
lawn jockey,{},{},"A black person, from the traditional statue.",eng,1,0,0,0,0,0,0,0,0,0,0,{},1,4/28/13 0:49,0
Leb,{},{},A person of Lebanese descent.,eng,0,1,0,0,0,0,0,0,0,0,1,Lebbo,65,12/28/16 2:07,0
Lebbo,Leb,{},A person of Lebanese descent.,eng,0,1,0,0,0,0,0,0,0,0,0,{},83,5/2/17 15:39,0
lefty,{},{},"An Arab, from the practice in certain Middle Eastern countries of chopping off a criminal's hand.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
lemonhead,{},{},An Asian person.,eng,1,0,0,0,0,0,0,0,0,0,0,{},253,5/10/17 20:58,0
leprechaun,{},{},A person of Irish descent.,eng,0,1,0,0,0,0,0,0,0,0,0,{},1,4/28/13 3:43,0
limey,{},{},A British person. Comes from the historical British naval practice of giving sailors limes to stave off scurvy.,eng,0,1,0,0,0,0,0,0,0.27,0,0,{},1722,5/16/17 13:33,0
ling ling,{},Ã‹ÂˆlÃ‰ÂªÃ…Â‹ Ã‹ÂˆlÃ‰ÂªÃ…Â‹,Broad derogatory term for someone of Asian appearance/descent.,eng,1,0,0,0,0,0,0,0,0.26,1,0,{},112,5/16/17 13:55,0
lowlander,{},{},"A person in the Netherlands, which is 20% below sea level.",eng,0,1,0,0,0,0,0,0,0,0,0,{},48,4/21/17 12:41,0
lubra,{},Ã‹ÂˆluÃ‹ÂêbrÃ‰Â™,An Australian Aboriginal woman.,eng,0,0,0,0,0,0,0,0,0,0,0,{},54,4/21/17 17:41,0
lugan,{},{},"A Lithuanian, particularly a Lithuanian American.",eng,0,1,0,0,0,0,0,0,0,0,0,{},56,12/10/16 16:24,0
mack,mick,{},"[1] An Irish person or a person of Irish descent. Mick is considered more offensive in the UK and US. From the prefix 'Mc'/'Mac' meaning 'son of' that is commonly found in Irish surnames. [2] In Australia, used to denote a Roman Catholic [19th century on, from Micheal].",eng,1,1,0,0,0,0,0,0,0.27,1,0,{},0,{},0
mackerel snapper ,{},{},A Roman Catholic. The term originated in the U.S. in the 1850s and refers to the custom of Friday abstinence.,eng,0,0,1,0,0,0,0,0,0,0,0,{},9,5/6/17 15:26,0
mangia cake,{},{},"A derogatory term used by Italians to disdainfully describe those of Anglo-Saxon descent (from Italian, literally 'cake eater'). One suggestion is that this term originated from the perception of Italian immigrants that Canadian bread is sweet as cake in comparison to the rustic bread eaten by Italians.",eng,1,0,0,0,0,0,0,0,0.53,0,0,{},207,5/10/17 20:27,0
Merkin,{},{},Similar to 'American.',eng,0,1,0,0,0,0,0,0,0,0,0,{},0,{},0
mick,{},mÃ‰Âªk,"[1] An Irish person or a person of Irish descent. Mick is considered more offensive in the UK and US. From the prefix 'Mc'/'Mac' meaning 'son of' that is commonly found in Irish surnames. [2] In Australia, used to denote a Roman Catholic [19th century on, from Micheal].",eng,1,1,0,0,0,0,0,0,0.7,1,3,mack; mickey; Mickey Finn,87,5/13/17 18:15,0
mickey,mick,{},"[1] An Irish person or a person of Irish descent. Mick is considered more offensive in the UK and US. From the prefix 'Mc'/'Mac' meaning 'son of' that is commonly found in Irish surnames. [2] In Australia, used to denote a Roman Catholic [19th century on, from Micheal].",eng,1,1,0,0,0,0,0,0,0,1,0,{},0,{},0
Mickey Finn,mick,{},"[1] An Irish person or a person of Irish descent. Mick is considered more offensive in the UK and US. From the prefix 'Mc'/'Mac' meaning 'son of' that is commonly found in Irish surnames. [2] In Australia, used to denote a Roman Catholic [19th century on, from Micheal].",eng,1,1,0,0,0,0,0,0,0,1,0,{},0,{},0
